Obj1,Obj2,Figure1,Figure2,Acc,Acc_exp_transform,RT,Skel,Skel_log_transformed,GBJ,GIST,HMAX,conv1,conv2,conv3,conv4,conv5,fc6,fc7,fc8
118,104,Figure_118,Figure_104,0.64516129,1.906294471,2837.419355,64.25,4.16,187.72,0.0973,0.14,28868.75,22078.65,12024.9,6153.55,2913.45,420.48,142.94,35.34
118,106,Figure_118,Figure_106,0.783783784,2.189742121,2896.891892,63.06,4.14,214.16,0.1007,0.47,27241.06,22581.81,13508.75,6993.17,3506.15,614.45,221.36,54.46
118,107,Figure_118,Figure_107,0.84375,2.32506966,2055.875,66.66,4.2,224.73,0.1123,0.49,27521.94,22039.03,13469.91,6932.17,3405.18,550.85,202.13,43.33
118,108,Figure_118,Figure_108,0.588235294,1.800807714,2170.852941,91.89,4.52,177.09,0.0764,0.07,25759.68,19835.33,11173.58,5816.88,2851.38,415.45,140.07,36.7
118,116,Figure_118,Figure_116,0.833333333,2.30097589,2686.866667,94.72,4.55,181.54,0.0792,0.26,25644.44,20071.41,11627.96,6045.93,3109.31,534.58,193.36,48.51
118,117,Figure_118,Figure_117,0.545454545,1.725392473,2051.575758,79.15,4.37,230.07,0.1577,0.18,28083.75,23803.56,14750.23,7645.06,3802.78,564.59,182.64,40.8
118,23,Figure_118,Figure_23,0.676470588,1.966923384,2466.852941,103,4.63,237.07,0.1614,0.61,31195.13,24433.82,14616.38,7430.67,3670.03,617.27,222.15,52.02
118,234,Figure_118,Figure_234,0.882352941,2.41657909,3121.970588,97.07,4.58,218.16,0.1253,0.25,31151.26,24574.76,14137.26,7286.91,3610.19,532.16,179.39,44.73
118,266,Figure_118,Figure_266,0.848484848,2.336104616,2353.636364,109.75,4.7,231.87,0.112,0.14,28836.53,24486.44,15095.36,7621.83,3832.43,546.25,184.54,42.66
118,31,Figure_118,Figure_31,0.545454545,1.725392473,3299.515152,101.35,4.62,224.12,0.1342,0.19,28033.21,24330.35,14725.22,7545.44,3798.01,565.12,185.21,45.06
118,32,Figure_118,Figure_32,0.814814815,2.258757346,2837.666667,98.64,4.59,185.66,0.0915,0.21,26772.71,20702.55,12368.81,6448.25,3288.21,558.59,189.51,44.74
118,36,Figure_118,Figure_36,0.722222222,2.059003694,2299.472222,131.66,4.88,183.69,0.0788,0.18,28100.31,20871.15,11411.03,5954.29,2998.63,449.52,162.33,46.26
118,39,Figure_118,Figure_39,0.685714286,1.985189322,2647.257143,95.12,4.56,219.21,0.1048,0.29,27927.81,22867.33,13984.75,7018.08,3527.44,511.88,188.54,39.74
118,43,Figure_118,Figure_43,0.571428571,1.770794952,2540.857143,87.9,4.48,197.69,0.1014,0.1,26312.72,21304.2,12907.95,6661.56,3228.22,426.5,139.33,37.16
118,44,Figure_118,Figure_44,0.724137931,2.062951926,3151.758621,100.82,4.61,187.09,0.0912,0.1,25802.49,19591.44,11774.67,6052.67,3025.74,465.47,174.76,42.73
118,48,Figure_118,Figure_48,0.59375,1.810766072,3737.03125,80.36,4.39,199.21,0.11,0.23,28349.98,22542.01,12690.22,6568.56,3189.16,542.57,181.52,42.85
118,56,Figure_118,Figure_56,0.783783784,2.189742121,2317.405405,100.28,4.61,176.96,0.067,0.17,25115.48,18705.16,10919.86,5660.46,2783.91,488.99,186.81,48.6
118,60,Figure_118,Figure_60,0.685714286,1.985189322,2801.428571,103,4.63,197.55,0.0909,0.17,28421.26,21645.2,12427.67,6440.64,3171.05,519.94,166.17,44.33
118,61,Figure_118,Figure_61,0.8125,2.253534787,2344.15625,109.94,4.7,203.19,0.1032,0.12,28962.81,22778.48,12869.17,6568.46,3234.37,514.5,165.03,39.97
118,65,Figure_118,Figure_65,0.828571429,2.290044911,2802.2,74.89,4.32,203.19,0.1044,0.18,27557.53,22480.73,12948.78,6597.37,3152.05,489.69,170.26,44.27
118,71,Figure_118,Figure_71,0.71875,2.051866773,2919.59375,81.71,4.4,224.56,0.1438,0.14,28485.88,24683.92,14953.4,7621.18,3781.45,544.65,180.1,45.68
118,72,Figure_118,Figure_72,0.84375,2.32506966,2520.84375,65.87,4.19,249.17,0.1622,0.38,30570.38,24978.17,15322.44,7820.62,3890.09,616.3,215.85,50.03
118,76,Figure_118,Figure_76,0.823529412,2.278527525,2465.617647,71.9,4.28,212.49,0.1208,0.3,29579.02,24363.71,14429.41,7477.51,3697.76,550.15,199.43,52.05
118,83,Figure_118,Figure_83,0.833333333,2.30097589,2554.966667,83.07,4.42,172.86,0.0579,0.08,25161.99,19467.53,11720.59,6148.28,3097.69,469.85,164.55,38.98
118,85,Figure_118,Figure_85,0.735294118,2.086095461,2584.794118,89.57,4.5,192.37,0.0978,0.26,28082.16,22326.43,12921.08,6663.37,3345.65,529.14,180.7,49.88
